station_id,lat,lng
SAWTOGOWR.1,-34.85586423,138.7311211
sp-o10438,-36.71753229,145.1711321
D13,-32.767842,151.7932333
M316,-32.767842,151.7932333
212285.1,-33.6560655,150.307351
212285.3,-33.6560655,150.307351
GREEN,-36.79225,142.2921
sp-o10454,-36.433798,144.834474
SAWGUMWR.1,-34.82146043,138.8521103
410788,-35.19186111,149.1058333
222537,-36.37904722,148.3705056
130354A,-25.2841,150.18245
41010928,-34.5252,144.7116
286.1,-41.88027778,145.5494444
A5040547.1,-34.85638869,138.6843562
401027,-36.0885,147.0539
SAWHAPVRS.1,-35.07251623,138.5715183
PI_13770.1,-21.0118435,117.1161005
ODSS_22257_SLEVELM.1,-21.0118435,117.1161005
ODSS_46616_WSLAHD.1,-21.0118435,117.1161005
ODSS_57389_WSLAHD.1,-21.0118435,117.1161005
PI_342971.1,-33.215313,116.139168
ODSS_18331_WSLAHD.1,-33.215313,116.139168
ODSS_56221_WSLAHD.1,-33.215313,116.139168
PI_342988.1,-33.078503,115.95149
ODSS_45321_SLEVELM.1,-33.078503,115.95149
ODSS_47866_WSLAHD.1,-33.078503,115.95149
ODSS_55912_WSLAHD.1,-33.078503,115.95149
146033A,-28.065228,153.2887845
SAWHOPVRS.1,-34.85185505,138.685684
D20,-32.78613889,151.8172333
410653,-35.42263889,149.0763056
136026A,-25.02488333,152.2357056
222539,-36.31494722,148.4826556
230216A,-37.4748,144.56893
422214A,-28.040651,148.571131
6090056,-33.58389436,116.7917254
136215A,-26.268485,152.006693
136120A,-25.254314,151.145612
136004A,-25.59481676,151.2963609
410573,-35.56149444,148.3066528
913015A,-20.167982,139.734708
913015B,-20.129421,139.71463
419041,-30.8792,150.4928
128.1,-42.26672222,146.2614444
231222A,-37.7446,144.57
SAWKACKRS.1,-34.86293916,138.7865552
130,-23.00390182,150.6916227
RES_BEEWKFS,-36.36945,146.73854
917116A,-19.03644444,144.1226583
126004A,-21.21272222,148.8993889
136121A,-25.34556,151.079067
135010B,-24.7849,152.18905
RE690,-37.5103,144.1489
130360A,-24.41608333,150.7721389
PI_358347.1,-15.7918695,128.695244
ODSS_61661_WSLAHD.1,-15.7918695,128.695244
ODSS_18313_WSLAHD.1,-15.7918695,128.695244
A4260574,-35.3473,139.2441
410765,-35.22252778,149.0651389
425021,-32.3,142.44
A4261061,-34.027,141.3234
A4261060,-34.0262,141.28
425020,-32.3076,142.5043
226236A,-38.17110375,146.3401354
412048,-33.395,145.9863
425023,-32.5253,142.2205
4205.1,-42.16092375,147.15573
425022,-32.2956,142.3682
4206.1,-42.14126818,147.1770298
232219A,-37.54143987,144.0265923
232220A,-37.51437,144.01766
232222A,-37.67679004,144.0743393
415275A,-37.02919537,143.1391578
226400B,-38.17128,146.35513
211.1,-42.17583333,146.3306389
407326A,-37.2794,143.54474
579.1,-42.31836111,146.4724167
A5040528.1,-34.7536679,138.7190911
236.1,-42.01083333,146.59
210102,-32.3292,151.4569
sp-o10606,-36.83120534,143.8917144
143228A,-27.63176543,152.3794386
LKALBERT,-35.6289,139.302
LKALEX,-35.4405,139.156
ODSS_22241_GLEVN.1,-16.1135755,128.732855
ODSS_58794_WSLAHD.1,-16.1135755,128.732855
63,-24.06961795,151.310746
BATYO_CATYO,-36.51393,142.93644
LAKE_BELLFIELD,-37.19361,142.55186
sp-o10109,-36.731584,146.65682
sp-o10350,-36.8510207,144.5312227
222538,-36.13036389,148.6139778
LAKE_FYANS,-37.15575,142.62148
222540,-36.34611111,148.6062472
142108A,-27.2434645,152.9599645
LAKE_LONSDALE,-37.02513,142.62308
138122A,-26.392392,152.9365115
143049A,-27.481165,152.7657155
212284.3,-33.658383,150.2969155
212284.1,-33.658383,150.2969155
sp-o10806,-36.458796,146.092765
sp-o10930,-36.8849555,145.99946
9575,-18.954914,146.1469045
410784,-35.40872222,149.0635556
A4260553,-34.03894794,141.276493
4261093,-33.9837,141.2764
A4261093,-33.9837,141.2764
sp-o11590,-36.91340337,146.3863558
LAURISTON,-37.267355,144.392061
422349A,-27.75328,151.312
137303A,-25.40012969,152.5297982
422315B,-28.216593,151.91816
145035A,-27.5393,153.170864
146034A,-28.1526195,153.283608
SAWLPRS.1,-34.7451221,138.725295
145034A,-27.946,152.9539
ODSS_18317_WSLAHD.1,-32.9983065,115.97324
