STN_NUM,WMO_NUM,AVIATION_ID,NAME,REGION,STATUS,EQUIP_START,EQUIP_END,LATITUDE,LONGITUDE,STN_HT,BAR_HT,AERO_HT
20062,94684,YYUN,YUNTA AIRSTRIP,SA,OPEN,12/6/1998,,-32.5707,139.5645,300,300.5,300
21131,95667,CLAR,CLARE HIGH SCHOOL,SA,OPEN,24/9/1993,,-33.8226,138.5933,395,396,
21133,95670,SNTN,RAYVILLE PARK,SA,OPEN,2/4/1998,,-33.7676,138.2182,109.1,109.2,
22031,95659,YMIN,MINLATON AERO,SA,OPEN,16/2/2001,,-34.748,137.5276,32,32.5,34.1
22046,94809,YEDB,EDITHBURGH,SA,OPEN,6/7/1984,,-35.1121,137.7395,6,7,
22049,95806,STHB,STENHOUSE BAY,SA,OPEN,20/11/1995,,-35.2795,136.9392,42,44,
22050,94685,YKDI,KADINA AWS,SA,OPEN,17/6/2005,,-33.9703,137.6628,41.14,41.6,42.1
22053,94666,WARB,WARBURTO POINT,SA,OPEN,10/7/2003,,-34.0041,137.528,1,,
22803,94822,YCWB,CAPE WILLOUGHBY,SA,OPEN,24/6/1995,,-35.8426,138.1327,55,56,
22823,95805,YCBO,CAPE BORDA,SA,OPEN,15/7/2002,,-35.7549,136.5959,158,158.3,
22841,95807,YKSC,KINGSCOTE AERO,SA,OPEN,11/12/1993,,-35.7114,137.5231,6.23,6.7,7.8
22843,94807,YPDA,PARNDANA CFS AWS,SA,OPEN,6/9/2011,,-35.7917,137.2487,165,,
23013,95677,YPPF,PARAFIELD AIRPORT,SA,OPEN,22/7/1992,,-34.7977,138.6281,9.5,10.3,17.4
23020,,,ROSEWORTHY AGRIC COLLEGE,SA,CLOSED,1/1/1992,13/8/1997,-34.5267,138.6883,68,,
23034,94672,YPAD,ADELAIDE AIRPORT,SA,OPEN,21/10/1988,,-34.9524,138.5204,2,8.2,6.1
23046,,ADAP,ADELAIDE AIRPORT OLD SITE,SA,CLOSED,26/6/2001,1/2/2005,-34.9566,138.5356,6,4,6.1
23052,95675,OHBP,BLACK POLE,SA,OPEN,5/2/2001,,-34.7343,138.4654,8,,
23083,95676,YPED,EDINBURGH RAAF,SA,OPEN,4/5/1993,,-34.7111,138.6222,16.54,17.1,20.4
23090,94675,ADRO,KENT TOWN,SA,OPEN,26/10/1992,,-34.9211,138.6216,48,51,
23109,99672,ADW2,ADELAIDE AIRPORT (ANEMOMETER SOUTH WEST),SA,OPEN,6/2/1995,,-34.9573,138.5152,3,,6.1
23122,95671,ROSE,ROSEWORTHY AWS,SA,OPEN,15/7/1997,,-34.5106,138.6763,65,65.5,
23123,99673,ADW4,ADELAIDE AIRPORT (ANEMOMETER NORTHEAST),SA,OPEN,6/2/1995,,-34.9382,138.5435,5,,6.1
23124,99674,ADW3,ADELAIDE AIRPORT (ANEMOMETER NORTHWEST,SA,OPEN,6/2/1995,,-34.9435,138.5232,2,,6.1
23373,94681,NURI,NURIOOTPA VITICULTURAL,SA,OPEN,28/8/1996,,-34.4761,139.0056,275,276,
23842,95678,LOFT,MOUNT LOFTY,SA,OPEN,1/2/1985,,-34.9784,138.7088,685,,
23875,94811,SECV,SECOND VALLEY FOREST AWS,SA,OPEN,9/3/1994,,-35.5695,138.2864,341,342,
23878,94678,CRAW,MT CRAWFORD AWS,SA,OPEN,19/4/1994,,-34.7253,138.9273,525,525.5,
23885,94808,NRLG,NOARLUNGA,SA,OPEN,13/7/2000,,-35.1586,138.5057,55,,
23886,95679,SELL,MOUNT TERRIBLE RADAR,SA,OPEN,21/2/1997,,-35.3294,138.5019,385.7,,
23887,94683,KUIT,KUITPO FOREST RESERVE,SA,OPEN,6/3/1998,,-35.1712,138.6783,365,365.5,
23894,94677,HMIS,HINDMARSH ISLAND AWS,SA,OPEN,24/1/2003,,-35.5194,138.8177,11,11.5,
23899,,,PORT STANVAC NTC AWS,SA,CLOSED,17/2/2006,1/12/2010,-35.1085,138.4671,0,,
24024,94682,LOXT,LOXTON RESEARCH CENTRE,SA,OPEN,23/12/1996,,-34.439,140.5978,30.1,30.4,
24048,95687,YREN,RENMARK AERO,SA,OPEN,26/6/1995,,-34.1983,140.6766,31.5,32,35
24580,94814,SRC,STRATHALBYN RACECOURSE,SA,OPEN,1/3/1996,,-35.2836,138.8934,58,58.5,
